variant,isin,base,nrd_z,our_z,delta,duration,margin_bps,rating,z_minus_g
V0   spline conv fwd (прод),RU000A108777,KEYRATE,1147,691,-456,0.079452,229,AA-(RU),-5
V0   spline conv fwd (прод),RU000A107X96,RUONIA,164,120,-44,0.249315,140,AAA(RU),35
V0   spline conv fwd (прод),RU000A10B4D8,KEYRATE,507,334,-173,0.082192,190,AA(RU),0
V0   spline conv fwd (прод),RU000A107456,RUONIA,433,286,-147,0.249315,220,A(RU),0
V0   spline conv fwd (прод),RU000A10BF48,KEYRATE,376,229,-147,0.082192,170,AAA(RU),0
V0   spline conv fwd (прод),RU000A109K40,KEYRATE,330,194,-136,0.084932,110,AAA(RU),0
V0   spline conv fwd (прод),RU000A1079S6,KEYRATE,517,355,-162,0.249315,120,AA(RU),1
V0   spline conv fwd (прод),RU000A10BQD6,KEYRATE,462,279,-183,0.082192,190,AA(RU),4
V0   spline conv fwd (прод),RU000A10BK09,KEYRATE,346,236,-110,0.082192,200,AAA(RU),0
V0   spline conv fwd (прод),RU000A107084,RUONIA,193,244,51,0.249315,125,AAA(RU),3
V0   spline conv fwd (прод),RU000A107050,RUONIA,184,247,63,0.249315,125,AAA(RU),3
V0   spline conv fwd (прод),RU000A107UW1,KEYRATE,421,252,-169,0.084932,130,AAA(RU),-1
V0   spline conv fwd (прод),RU000A106565,KEYRATE,410,240,-170,0.249315,130,AAA(RU),3
V0   spline conv fwd (прод),RU000A108GN7,KEYRATE,1108,826,-282,0.249315,220,AA-(RU),6
V0   spline conv fwd (прод),RU000A1083U4,RUONIA,253,264,11,0.249315,140,AAA(RU),0
V0   spline conv fwd (прод),RU000A108QA3,KEYRATE,323,199,-124,0.249315,110,AAA(RU),0
V0   spline conv fwd (прод),RU000A108LU2,KEYRATE,418,34,-384,0.249315,110,AAA(RU),273
V0n  spline raw  fwd,RU000A108777,KEYRATE,1147,605,-542,0.079452,229,AA-(RU),-5
V0n  spline raw  fwd,RU000A10B4D8,KEYRATE,507,249,-258,0.082192,190,AA(RU),0
V0n  spline raw  fwd,RU000A10BF48,KEYRATE,376,145,-231,0.082192,170,AAA(RU),0
V0n  spline raw  fwd,RU000A109K40,KEYRATE,330,128,-202,0.084932,110,AAA(RU),0
V0n  spline raw  fwd,RU000A1079S6,KEYRATE,517,272,-245,0.249315,120,AA(RU),1
V0n  spline raw  fwd,RU000A10BQD6,KEYRATE,462,200,-262,0.082192,190,AA(RU),4
V0n  spline raw  fwd,RU000A10BK09,KEYRATE,346,157,-189,0.082192,200,AAA(RU),0
V0n  spline raw  fwd,RU000A107UW1,KEYRATE,421,169,-252,0.084932,130,AAA(RU),-1
V0n  spline raw  fwd,RU000A106565,KEYRATE,410,166,-244,0.249315,130,AAA(RU),3
V0n  spline raw  fwd,RU000A108GN7,KEYRATE,1108,741,-367,0.249315,220,AA-(RU),6
V0n  spline raw  fwd,RU000A108QA3,KEYRATE,323,116,-207,0.249315,110,AAA(RU),0
V0n  spline raw  fwd,RU000A108LU2,KEYRATE,418,-45,-463,0.249315,110,AAA(RU),273
V1a  spline conv spot_start,RU000A108777,KEYRATE,1147,668,-479,0.079452,229,AA-(RU),-5
V1a  spline conv spot_start,RU000A10B4D8,KEYRATE,507,312,-195,0.082192,190,AA(RU),0
V1a  spline conv spot_start,RU000A10BF48,KEYRATE,376,206,-170,0.082192,170,AAA(RU),0
V1a  spline conv spot_start,RU000A109K40,KEYRATE,330,194,-136,0.084932,110,AAA(RU),0
V1a  spline conv spot_start,RU000A1079S6,KEYRATE,517,347,-170,0.249315,120,AA(RU),1
V1a  spline conv spot_start,RU000A10BQD6,KEYRATE,462,281,-181,0.082192,190,AA(RU),4
V1a  spline conv spot_start,RU000A10BK09,KEYRATE,346,214,-132,0.082192,200,AAA(RU),0
V1a  spline conv spot_start,RU000A107UW1,KEYRATE,421,233,-188,0.084932,130,AAA(RU),-1
V1a  spline conv spot_start,RU000A106565,KEYRATE,410,240,-170,0.249315,130,AAA(RU),3
V1a  spline conv spot_start,RU000A108GN7,KEYRATE,1108,831,-277,0.249315,220,AA-(RU),6
V1a  spline conv spot_start,RU000A108QA3,KEYRATE,323,185,-138,0.249315,110,AAA(RU),0
V1a  spline conv spot_start,RU000A108LU2,KEYRATE,418,34,-384,0.249315,110,AAA(RU),273
V1e  spline conv spot_end,RU000A108777,KEYRATE,1147,672,-475,0.079452,229,AA-(RU),-5
V1e  spline conv spot_end,RU000A10B4D8,KEYRATE,507,316,-191,0.082192,190,AA(RU),0
V1e  spline conv spot_end,RU000A10BF48,KEYRATE,376,210,-166,0.082192,170,AAA(RU),0
V1e  spline conv spot_end,RU000A109K40,KEYRATE,330,194,-136,0.084932,110,AAA(RU),0
V1e  spline conv spot_end,RU000A1079S6,KEYRATE,517,352,-165,0.249315,120,AA(RU),1
